书本名字,作者,状态,类型,点击,字数,收藏数
逆天绝杀,梦见灵儿,连载,推理破案,3568,10937,0
丞相，咱有话好好说,云小欢,连载,古代言情,3567,5255,3
我只是一个受气包,异情,连载,青春校园,3564,1013,0
他比时光姗姗来迟,音十,连载,青春校园,3947,5360,57
汉服美眷动京城,古灵精,连载,都市爱情,3919,2984,1
岛屿,老板有酒,连载,青春校园,3916,17083,1
人间雪白头,林小小鹿,连载,都市爱情,3900,5727,1
晚春之时,粟笺,连载,总裁豪门,3891,11234,0
奋不顾身扑向你,棹鸟,连载,青春校园,3883,6310,0
晨光闪烁,鹿鸢,连载,都市爱情,3856,15894,3
十二张照片,如晨,连载,青春校园,3847,6185,2
边疆小书商,子衿娘,连载,古代言情,3841,6745,2
《遥庭之宇》,初灵陌,连载,古代言情,3831,9017,3
属于甜心公主的爱情,不哭的小猫,连载,青春校园,4045,10084,0
开到荼蘼,以雅安歌,连载,都市爱情,4033,5152,1
快穿攻略：男神，有点甜,十三有九,连载,奇幻空间,4003,5074,8
梅花香自苦寒来,虚负青春,连载,青春校园,3998,12254,2
云笈英华录,花销英气,连载,游戏竞技,3992,7682,1
我爱你，不愿后悔,芸樱,连载,青春校园,3988,11608,2
烟花•风月,奥蕾莉亚,连载,古代言情,3977,5823,0
相见恨晚且怀念,暮帆,连载,古代言情,3972,5154,110
笙生烬,a怀梦,连载,古代言情,3972,7113,1
史上最乱大乐斗,俗人,连载,仙侠神话,3949,7682,1
总是借我钱的林叔叔,沈茕茕,连载,都市爱情,4126,8000,2
捕捉娘子,徐欢生,连载,校园甜宠,4122,10727,1
医生住隔壁,十元mina,连载,都市爱情,4118,5890,1
豪门婚约:烈总霸宠傲娇妻,柒大大,连载,总裁豪门,4115,9691,0
韶光负流年,讨厌下雨的猫,连载,都市爱情,4096,11991,1
他乡佳人难再得,花仔,连载,古代言情,4096,6284,3
《傅总，你的小可爱已到达》,江橙子,连载,都市爱情,4080,1002,1
我的迟钝少女小呆猫,夕木,连载,青春校园,4071,5269,3
如果师父想成仙,小老头,连载,古代言情,4063,9692,2
崖上柳青青,秋千乱红,连载,青春校园,4045,9051,1
追华晨宇的日常,柒大大,连载,娱乐明星,4245,5503,4
[穿书]追星狗的女配生活,时光seven,连载,都市甜宠,4196,4569,9
差一点遗憾,丝芍,连载,青春校园,4194,7263,1
请允许雪沫随风消逝,不哭的小猫,连载,青春校园,4180,23022,0
南风饶絮间再遇,林也金,连载,都市爱情,4162,3496,0
有幸遇见你，余生为你而来,卿盏,连载,青春校园,4161,14666,1
南墙的灯，北面的光,冯乔,连载,,4160,6229,1
我的青春我做主,荣师兄,连载,青春校园,4151,29172,3
难哄,江幼,连载,青春校园,4146,5707,82
风华多指教,南亿,连载,古代言情,4138,15899,0
女巫与红狐,史黛西·赫思,连载,外国文学,4454,175098,1
幻想笔记,阿姨,连载,玄幻言情,4439,16053,1
唯读爱恒久,铭浩轩,连载,青春校园,4435,31620,0
大狗小狗,谷洁,连载,励志人生,4431,5294,3
划破黑夜的那一束光,木头人,连载,科幻未来,4370,10421,1
幸福在身边,艾海,连载,都市爱情,4363,38954,0
钤玒馆,顽石亦玉,连载,古代言情,4351,18426,2
黑犬先生柠檬精,伍月,连载,都市甜宠,4331,61334,1
强“宠”为双,龙清凌,连载,都市爱情,4311,2978,5
我和死对头相亲相爱了,妃水水,连载,都市爱情,4256,6715,12
始知相忆深,微染,连载,都市甜宠,4644,7816,6
骆骆,子琳,连载,玄幻言情,4615,13241,1
蹩脚侦探和他的助手们,笨末,连载,推理破案,4593,85050,3
一枕一席一个你,子厌歧,连载,都市甜宠,4591,10540,1
谁管咱爸妈,清羽,连载,婚姻家庭,4575,8257,35
在你心头降落,卡布奇诺的猫,连载,青春校园,4565,7823,3
夜将行.,顾子琛.,连载,古代言情,4560,1396,2
南风北巷,慕容宁音,连载,都市爱情,4541,1755,14
梦一场江南烟雨,月下松风,连载,古代言情,4482,15681,1
想为你拨开阴霾,蔓安,连载,青春校园,4457,41352,2
重耳、缘来是你,我是心语,连载,古代言情,4899,15186,1
如此可爱的你,龙中雀,连载,青春校园,4852,10990,0
南靳长弦歌,竹樾,连载,古代言情,4844,9002,5
熠熠方圆,阜山,连载,都市爱情,4836,20146,1
奶糖味的暗恋,顾蕊,连载,青春校园,4832,1977,12
盐渍玫瑰,贺三二,连载,都市爱情,4789,13856,1
重生搞事攻略,见夏,连载,宫斗宅斗,4768,13510,11
俪妃传,昔柚,连载,古代言情,4742,6140,1
甜药,纾亦,连载,都市甜宠,4675,4495,1
幻梦之境,周十一,连载,奇幻空间,4666,21674,1
杪秋前记（短篇集）,滞月杪秋,连载,古代言情,5118,10505,1
星空迷航,千岁郎君,连载,科幻未来,5089,5517,32
黑萌符师,杏辰,连载,玄幻言情,5068,12627,1
不配,七落,完结,青春校园,5036,305986,6
廊情画意,什为为,连载,都市爱情,5026,36734,0
陌上花开，应是良辰好景时,古枫清诚,连载,都市爱情,4983,8604,3
致那终将逝去的青春,闰土家的小猹,连载,青春校园,4962,16220,3
不遇天人不目成,君慕倾,连载,都市爱情,4946,1905,9
帝尊大人的心尖首徒,婳卿,连载,玄幻言情,4931,51743,4
暖意如冬怀,栯匪君之,连载,都市甜宠,4903,9817,1
好想要牵你的手,浅白,连载,青春校园,5522,5606,1
战神的宠妃,战甲,连载,古代言情,5502,12117,0
为什么大家那么爱我,沐涳,连载,古代言情,5464,17451,3
破晓,肖有钱,连载,都市爱情,5450,5822,3
星塔,镹時,连载,科幻未来,5446,10944,26
竹马恋青梅,小熊饼干,连载,校园甜宠,5398,3326,1
爱你，才是长久之计,汪汪汪,连载,都市爱情,5382,6326,24
无尽风雪路,枯试,连载,古代言情,5376,21764,9
池雨思顾渊,葵绿,连载,都市爱情,5372,30997,2
王的贴身女侍卫,小门牙,连载,时空穿越,5363,9772,3
华锦如梦,时卿,连载,古代言情,5343,7470,2
破雪归来兮,长白红景天,连载,古代言情,5332,17507,2
谎,乘摇,连载,古代言情,5239,13695,1
昨天的现在的未来,菜菜,连载,青春校园,5218,16583,4
十八,儒墨,连载,青春校园,5208,41899,2
念念不忘，年少青华,星辰,连载,,5202,5425,3
如你,折耳,连载,都市爱情,5193,9797,3
遇见你，竟花光我所有的运气,南无桑,连载,都市爱情,5151,6327,17
孤独邮差,丹尼斯·特里奥特,完结,外国文学,5147,46605,14
微雨燕双飞,咏荞Hy,连载,都市爱情,5131,5600,1
白月光先生,米敏,连载,都市爱情,5700,36941,0
皆胜意,檀吟,连载,古代言情,5693,9524,1
大艺术家,易天路,连载,推理破案,5648,10402,0
快穿之女配总是在作死,虞清柩,连载,奇幻空间,5606,7696,8
心有灵犀,浮梦,连载,青春校园,5601,17423,1
龙公主的宝石,sky木有鸟,连载,玄幻言情,5598,15214,2
穿成霸道王爷的心头血,青柑不酸,连载,古代言情,5569,24956,1
巫人,巫灵范,连载,,5559,10000,0
川上赴野,野小逸,连载,都市爱情,5558,1132,2
我的“805高地”战友们,长白红景天,连载,青春校园,5528,17512,1
实习死神,顾安乡,连载,玄幻言情,5961,7515,13
奇书诗歌,谁家帅哥,连载,青春校园,5929,13185,0
竹马变青梅,橙大白,连载,青春校园,5928,2406,37
瓦尔登湖,亨利·戴维·梭罗,完结,外国文学,5918,200400,20
我是你的,疏疏一树,连载,都市爱情,5902,6089,1
谁是凶手,梦如芙蓉铺,连载,推理破案,5875,6770,0
渡归记,琳琅不青,连载,古代言情,5847,7270,4
ANOTHER,吴玘,连载,奇幻空间,5767,8994,0
亲爱的总经理,小九儿,连载,都市爱情,5757,15440,0
假玫瑰,陆夏,连载,都市爱情,5735,17108,1
荒岛七天,白玥,连载,都市爱情,6209,6725,0
薄少的密爱暖妻,炫小锡,连载,玄幻言情,6182,10797,0
跨界,亡夜,连载,玄幻言情,6178,39135,7
只为他停留,岁远,连载,都市爱情,6095,9613,0
我的未婚夫男友,公子之恒,连载,玄幻言情,6075,17589,16
暗恋日记有点甜,烟雨惊鸿,连载,都市爱情,6075,36565,1
沧海剑侠传,太行天仙,连载,仙侠神话,6025,52468,0
春水,听夜,连载,婚姻家庭,6022,1249,0
时光听我说爱你,沧蕙,连载,青春校园,5997,35405,1
桭闫,洛柠,连载,青春校园,5991,12117,1
有你，岁月会静好,一揽芳华,完结,青春校园,6568,37624,12
有生之年，我愿和你在一起,云在野,连载,都市爱情,6508,20633,1
馆长大人此情可依,花时醉,连载,都市爱情,6501,6126,18
请你先说你好,青山如是,连载,青春校园,6452,23739,2
等你在幕后,九月梓,连载,青春校园,6432,12030,5
月光下的青春,晴川沥沥,连载,青春校园,6408,41033,0
有个人爱你很久,花时醉,连载,都市爱情,6358,5801,19
声声不息,凌筝,连载,玄幻言情,6318,6314,3
寒苦谙冰雪,包二径,连载,都市爱情,6272,10528,0
甜梅号角,未由之阙,连载,青春校园,6212,12864,23
主角工作室,郝好,连载,都市爱情,6808,18453,0
你是星河万里,梦君仙森,连载,青春校园,6726,22048,5
请叫我易小姐,艾海,连载,都市爱情,6708,54925,0
纪先生的小确幸,时九思,连载,都市甜宠,6691,21625,2
X＋Y＝2Y,时旬,连载,婚姻家庭,6681,11816,1
我们曾相爱,壹贰,连载,青春校园,6669,7541,1
清决尤微,路庭安,连载,都市爱情,6644,14251,3
《囚笼》,江橙子,连载,都市爱情,6621,3141,1
奇书散文,谁家帅哥,连载,时空穿越,6612,15803,1
物理学家培养方案,简卿兰,连载,青春校园,6575,18903,0
AS星光录,寺德,连载,青春校园,7067,22670,0
温柔王子的粗暴公主,不哭的小猫,连载,青春校园,7059,15461,0
银河也会失落,晴川沥沥,连载,都市爱情,7005,48479,0
假如我们都是繁星,Amanda,连载,都市爱情,6950,19487,0
星辰深处遇见你,残年,连载,科幻未来,6928,5112,78
男神被我分手了,向晚意,连载,都市爱情,6923,17509,3
泱及池俞,寻梦,连载,青春校园,6875,14441,6
最后的童话,王泡小泡,完结,青春校园,6857,126276,34
圆谎者,蓝花楹,连载,都市爱情,6844,6388,4
望到蔚蓝,39度风,连载,都市爱情,6815,18899,3
遥远的歌,林四月,连载,青春校园,7262,32932,0
春日序曲,（美）安德烈·艾席蒙,连载,外国文学,7202,152585,12
圆明缘,谷洁,连载,古代言情,7188,15498,1
《囚仙》,柚梓,连载,仙侠神话,7174,16159,0
若我不在,罗晓蜜,连载,都市爱情,7161,18967,3
漓昤箓,苏其浅瑭,连载,仙侠神话,7146,26133,1
少年人,允凡,连载,科幻未来,7144,17209,2
殁鸦,素锦年0,连载,玄幻言情,7126,15116,11
再见你那时烈日骄阳,南鸿,连载,青春校园,7115,18183,7
殊不知非,宣子柚子,连载,仙侠神话,7078,17929,7
从零开始的告白,凉久,连载,校园甜宠,51685,232385,256
对你不止有心动,云中君,完结,玄幻言情,51556,441944,76
穿书后女配每天都在保命,叶小绮,完结,穿书快穿,51489,1082366,18
学长别跑啊,初笙,连载,青春校园,51380,87880,151
落尽繁花伴君眠,一苇以航,完结,古代言情,51338,223737,129
在这浮华世界里，我只要刚刚好,芝麻,完结,励志人生,51251,100245,19
终有弱水替沧海,君沐泠,完结,都市爱情,51165,103288,38
听说你撬了我家锁,萧半纯,连载,都市爱情,50901,216227,2
刚枪组合超级甜,令茶,完结,游戏竞技,50863,805791,408
影帝太爱我了怎么办,狐狸坐在沙丘上,完结,都市爱情,50742,128590,54
消失的女孩,柯熙·卓安,完结,外国文学,53142,157886,76
情不知所起,疯子傻子,连载,青春校园,53124,265673,1
田园农妻：腹黑王爷带回家,小玥玥,完结,种田经商,53119,741562,85
一见修远误终身,琥珀,完结,都市爱情,52941,102816,62
民国女侦探,孟三茶,完结,民国情缘,52934,297187,62
盗尽君心,打伞的蘑菇,完结,古代言情,52555,130511,60
你的世界总有一个我,顾合一,完结,都市爱情,52374,79158,130
竹马爱豆攻略我,小春生,完结,校园甜宠,51921,230642,272
人生处处是修行,鬼脚七,完结,励志人生,51778,130068,22
与你比邻长相老,早安喵,完结,青春校园,51702,233528,223
碰燃心动：美女，买个车,阳光暖暖,完结,职场白领,55563,329123,48
槭树物语,咕噜咕噜,完结,都市爱情,55376,997903,97
摄政王又甜又撩,路东瑶,连载,宫斗宅斗,55343,5341,12
我家老公贼可爱,泡芙配虾,完结,都市爱情,55152,483002,122
汉宫未央之询君录,莫衷一是,完结,古代言情,55027,894830,73
聚光灯下的爱恋,七八九十,完结,娱乐明星,55018,984658,102
男大当婚，女大当嫁,盖盖,完结,青春校园,54310,182905,38
唯愿当歌对酒时,鎏公子,完结,仙侠神话,54100,523801,69
花落千年逐流水,满城桃花,完结,仙侠神话,53785,133054,86
我有一座甜品屋,柒柒,完结,奇幻空间,53553,215672,35
喜欢你，那件很简单的小事,夏酷酷,完结,青春校园,58065,114790,117
探春志,夏之婉,完结,古代言情,57406,246594,25
恋千年：我的海盗夫人,仲安歌,完结,宫斗宅斗,57310,311525,13
赐婚为妃，嫁个祸害,鸢尾,完结,古代言情,57308,314765,66
萌主医妃，王爷别动粗,锦鲤猫猫,连载,古代言情,57277,838801,76
灵泉空间，神医农女有点肥,月宝酱,完结,种田经商,57239,1209684,19
知更鸟女孩2,（美）查克·温迪格,完结,外国文学,57032,162278,115
重启人,艾米·亭特拉,完结,外国文学,56877,142910,85
别来无恙，你在心上,依叶,完结,婚姻家庭,56384,426831,95
咸鱼女配不配宅斗,猫吃鱼不睡觉,完结,古代言情,56191,767502,39
你都不配我毒舌,金国栋,完结,都市爱情,67828,107520,106
如果读得懂你的心,山雨欲来风满楼,完结,职场白领,67327,219112,79
东方须臾高知之,灯下客,完结,古代言情,66898,588644,200
落月赋,韶兮夏,完结,古代言情,66897,92258,127
越孤独越自由,傅踢踢,连载,励志人生,66733,41096,60
强势婚宠，总裁大佬请放手,baby魅舞,完结,总裁豪门,65487,775885,148
把每一天都当做末日来爱你,怪兽不乖,完结,科幻未来,65044,1000670,27
神君大人，约吗？,浪浪,完结,仙侠神话,64819,240001,71
青春欠我一个旧时光,顾南玖,完结,青春校园,64749,386248,132
直到那一天,雪梦城,完结,都市爱情,64632,254682,68
亲爱的戏精先生,唐小蓝,连载,都市爱情,62535,190723,251
过客匆匆,飘阿兮,完结,都市爱情,62262,277336,97
恰似你的小可爱,肥耳猫,完结,校园甜宠,62231,134740,216
青耳不语,十辛,完结,都市爱情,61881,242945,105
萧风惊澜雨,泱泱不及池鱼,连载,民国情缘,61579,123102,20
报告太子：太子妃去点兵了,秋凉,完结,古代言情,61267,2028791,31
曾有月光夜倾城,挽将倾,完结,都市甜宠,60948,137039,60
她作一盏长明灯,风来,完结,古代言情,60677,400666,152
谁许谁一世深情,桔烁,完结,青春校园,60556,169973,67
转发这条小锦鲤,令茶,完结,玄幻言情,60506,858928,167
云端漫步,贮夏,完结,职场白领,70572,205659,57
夫君大人别找事儿,蓝雪心,完结,古代言情,69335,1062494,62
如果机器人会流泪,多多,连载,科幻未来,69284,147285,97
不可复制的恋情,子琳,完结,都市爱情,69119,789810,105
玄光传,余鲸落,完结,仙侠神话,68981,211254,316
凶手，请你下车,凝雪月白,完结,都市爱情,68960,144261,48
报告，余生是你,时光seven,完结,校园甜宠,68841,155221,135
农门娇妃，买个丑夫喜种田,无鱼,完结,种田经商,68562,476235,67
面具至尊,蓝花楹,完结,二次元,68102,702329,39
陛下在上，臣在下,江上影,完结,古代言情,67898,220525,65
重返19次人生,克莱儿·斯沃特曼,完结,外国文学,60261,170356,104
娇妻嫁到，战神夫君快投降,蝶影轻舞X,完结,古代言情,60238,620227,69
灿若繁星,赫城,完结,职场白领,60106,221670,116
动情之后,门前风,完结,都市爱情,59940,173209,23
空间弃女：妖孽将军来种田,白马非马,完结,种田经商,59743,1000171,56
终于等到你,蓝白色,连载,都市爱情,59680,49139,32
第一女盐商,巴达兽,完结,种田经商,59219,1316389,56
你和梦想之间，只差一个行动,行动派,连载,励志人生,59040,31225,17
茗茗喜欢你,茗致,完结,青春校园,58308,242849,176
师门不幸，这都是命,姣祖凰,连载,玄幻言情,58098,268041,2
你今天看起来很美味,小丑鱼,完结,都市爱情,73496,268882,127
不仅尤点喜欢你,茄子妖娆,完结,娱乐明星,73019,194546,137
灼心热恋,Krystal,完结,青春校园,72963,215750,250
知更鸟女孩,（美）查克·温迪格,完结,外国文学,72711,143558,233
论如何攻略世子爷,痴狂未戒,完结,古代言情,72610,446808,66
久慕情森,云中锦,完结,都市爱情,72344,80125,25
余狐择伶,沐泠杳,完结,古代言情,72154,131023,68
沙海无门,吴有音,连载,悬疑推理,72081,103788,62
刺槐,野榈,完结,都市爱情,70988,131141,25
天暗下来，你就是光,苏画弦,完结,都市爱情,70578,305119,243
我在回忆里等你,辛夷坞,完结,都市爱情,64416,274541,258
我见江山多锦绣,初妍,完结,宫斗宅斗,64266,200190,23
她是小甜酥,酥心糖,完结,都市爱情,64262,139102,103
咦，升官发财送老公？,锦余,完结,玄幻言情,64074,609037,83
你的世界，我来了,千秋子,连载,都市爱情,64059,182513,1
一路繁花相送,青衫落拓,完结,都市爱情,63787,270258,173
青天与你我都热恋,弃弈,完结,游戏竞技,63632,265310,165
今夜有佳人,姜姽婳,完结,都市爱情,63580,204311,253
听说我捡到了一条锦鲤,肥啾,完结,仙侠神话,63044,235873,55
入戏,榷湫,完结,娱乐明星,62855,421206,151
繁花下罗莉亚,清禾,完结,推理破案,77166,143912,219
女医夜行,石若轩,完结,民国情缘,77103,130963,139
前男友捕获计划,木良NANA,完结,都市爱情,76543,228949,138
商女胜男：我家娘子有点狠,阳光暖暖,完结,种田经商,76543,603778,78
相思知几许,花辞,完结,青春校园,76513,369399,101
春江花月夜之有狐,多多,完结,古代言情,76467,200057,199
她那么可爱,梨子新茶,完结,都市甜宠,75717,137568,294
时光有你刚刚好,长夜漫漫,连载,都市爱情,74433,109587,506
她又软又甜,月见的猫,完结,校园甜宠,74336,100849,387
离秋不知秋深,青禾,完结,都市爱情,74223,196755,172
偷偷喜欢你,它叫安德烈,完结,青春校园,80704,180336,281
纸婚2,叶萱,完结,都市爱情,80663,256756,47
最亲爱的你,今叶白,完结,校园甜宠,80394,212515,250
明年花开，你在哪里,清木风,完结,青春校园,80360,548308,21
摆渡人,[英]克莱儿·麦克福尔,完结,外国文学,80316,161678,393
谁与桑落,十辛,完结,都市爱情,79495,256684,134
你是我的甜蜜饯儿,苏夭夭,完结,都市爱情,79487,780520,155
生命的橄榄绿,九秋,完结,都市爱情,78966,501125,120
和你在一起才是全世界3,大柠,完结,都市爱情,77612,80332,710
你是谁的此间少年,一语千城,完结,青春校园,77196,142725,70
逆行而来的你,声声慢,完结,都市爱情,83165,179423,109
不会谈恋爱的我,金国栋,完结,都市爱情,82578,84770,230
骄阳,晚乔,完结,都市爱情,82490,113927,24
你的软肋，我的铠甲,木堇,完结,校园甜宠,81997,268949,300
微光迷失的尘夏,赤焰冷,完结,都市爱情,81790,157513,9
时光与你，恰是正好,晚晴,完结,都市爱情,81707,426102,274
你若回眸，岁月皆温柔,白浮生,完结,都市爱情,81543,285306,138
时光让我遇见你,東米子,完结,总裁豪门,81514,936113,158
恋爱风线,夏茗悠,完结,都市爱情,81389,103418,178
再见，萤火虫小巷,【美】克莉丝汀.汉娜,完结,外国文学,81016,252582,154
弥弥之樱,笙歌,完结,青春校园,87091,128524,103
戏子,饼姬,完结,民国情缘,87028,123058,187
青梅翻墙了：竹马，别缠我,花葵向暖,完结,都市甜宠,86877,539687,197
芒川非川,十辛,完结,都市爱情,86399,203773,120
王爷，你家王妃快挂了,巴达兽,完结,古代言情,85632,2029605,169
星河深处皆是你,欢喜,完结,科幻未来,84807,224162,85
良夜又逢,宴阿心,完结,宫斗宅斗,84690,252639,41
妙不可言的你,白槿余,完结,娱乐明星,84549,121552,195
影帝女友戏太多,叶子,完结,娱乐明星,84350,2045707,101
终不过南来北往,一口小甜饼,完结,都市爱情,84041,45741,106
待我回来，娶你可好？,北方有佳人,完结,婚姻家庭,90891,1691514,54
每次想你都很甜,小春生,完结,校园甜宠,90740,175629,242
孤独是一座岛,安逸,完结,科幻未来,90130,212159,84
对这个残酷的世界说情话,韩松落,完结,励志人生,89078,126328,30
我是女王,伊能静,完结,励志人生,88803,114274,38
并指如刀：阿郎看电影,阿郎,完结,励志人生,88610,154109,18
白龙物语,千夜,完结,玄幻言情,88538,209643,177
我们的千阙歌,青衫落拓,完结,都市爱情,88149,381950,224
是谁杀了我,艾米·托金顿,完结,悬疑推理,88020,135415,125
荒唐成宠,咕咕鸡,完结,都市爱情,87344,473435,70
快穿之反派Boss黑化中,半仙开个门,完结,奇幻空间,95182,223949,64
目光,陶勇，李润,完结,励志人生,95096,97743,87
宜少，我是你的甜心呐,烟不才,完结,总裁豪门,94241,224034,153
婚不由己，厉总老婆要乖乖,是糖糖呀,完结,都市爱情,93835,451124,317
亲爱的齐先生,安小琪,完结,职场白领,93812,210411,150
等我嫁给你,闻人可轻,完结,都市爱情,93531,115919,11
彩虹糖下的爱恋,香香公主,完结,职场白领,93526,225143,139
为你执念一生,思清入骨,完结,都市甜宠,91918,216939,119
我的犬系超能男友,叶辰星,完结,重生异能,91405,424056,213
墨然相守，衿便不离,竹韵可依,完结,青春校园,91186,137460,401
应许之日,辛夷坞,连载,都市爱情,102194,43739,380
人海之中找到你,追月逐花,完结,都市爱情,101225,206431,258
哼！就是那么喜欢你,明月清萧,完结,校园甜宠,100577,899209,381
橡塔,墨小芭,完结,青春校园,100301,173400,208
纸婚,叶萱,完结,都市爱情,98852,252376,112
第一次喜欢你,胭橙,完结,青春校园,98519,221843,331
匆匆时光不及你,纪南辰,完结,校园甜宠,97627,312546,270
被光芒簇拥的他,鹿街山奈,完结,都市爱情,96529,208092,388
秦先生的招财猫,月三公子,完结,都市爱情,95776,239829,84
影帝其实是大佬,不知,完结,都市爱情,95463,256970,293
半梦半醒中等你,顾南苑,完结,都市爱情,113731,143145,90
状元大人腿软了,下雨天,完结,种田经商,113245,740920,72
最美不过与你的时光,唐澄心,完结,校园甜宠,112595,258105,382
张英明谈恋爱,泡泡雪儿,完结,都市爱情,112269,99575,74
相思逢春老,五叁肆九,完结,仙侠神话,112058,146246,80
余生，和让你笑的人在一起,花拉拉,完结,婚姻家庭,111966,217957,373
爱短情长,墨颜,完结,都市爱情,111739,135169,51
北有离陌,梅雪姚,完结,古代言情,110478,248386,215
蛇王来袭，妈咪快跑！,鸢尾,完结,玄幻言情,110252,283453,39
晨昏,辛夷坞,完结,都市爱情,109964,122076,331
追光者,唐小蓝,完结,科幻未来,109827,212831,183
唯一的星芒,果冻鱼,连载,游戏竞技,107161,996201,157
双面千金，顾少请多指教,云星,连载,总裁豪门,106122,677306,323
人生所有经过的路，都是必经之路,鬼脚七,完结,励志人生,105725,106490,59
来不及从头开始爱你,西西里呀,完结,都市爱情,105445,168347,61
教授，谈个恋爱，可否？,木堇,完结,都市甜宠,105279,275856,522
愿你迷路到我身旁,蕊希,完结,励志人生,104889,72217,209
晚枫谣,壹落,完结,古代言情,104701,39096,90
今天竹马真香了吗？,甜栗荔枝,完结,都市爱情,104665,222372,268
往生簿,凉久,完结,玄幻言情,102722,541625,278
萤火虫小巷,【美】克莉丝汀.汉娜,完结,外国文学,121536,252112,160
穿过漫天炮火,江上影,完结,娱乐明星,121416,399374,72
我和你逆转时光,随宇而安,完结,都市爱情,120869,248055,178
指间的星光,暖暖风轻,完结,都市爱情,120068,175564,254
我们（下）,辛夷坞,完结,青春校园,119529,127569,872
凉风习习话江楠,弈皌,完结,娱乐明星,119149,140449,726
翊夫当关,风来,完结,都市爱情,119089,228185,171
山月不知心底事,辛夷坞,完结,都市爱情,116466,372800,633
漫天星辰不及你,凉茶西柚,完结,娱乐明星,115464,265077,125
偏爱你的甜,苏亦,完结,都市爱情,114207,97779,319
学霸总撩我,下雨天,完结,校园甜宠,155855,152504,534
许你一世浮屠,帝倾,完结,都市爱情,155744,344664,122
遇见你好幸运,暖暖风轻,完结,都市爱情,155523,251128,287
一杯温凉,木良NANA,完结,都市爱情,153647,164745,111
原来你还在这里,辛夷坞,完结,都市爱情,152598,213051,606
白马流年太匆匆,闻人乐心,完结,青春校园,151091,316476,172
余生是你，糖也是你,木木雨巷,完结,青春校园,150864,234728,1026
慕我之卿,凝雪月白,连载,都市爱情,149115,399572,23
我家大神名知许,不吃萝北呀,完结,校园甜宠,148425,233001,338
蓦然情深,公子兮,完结,都市爱情,148255,196127,373
妙手神医：夫君嫁我可好,柳十三,完结,古代言情,136728,241373,190
契约娇妻：总裁，余生请多关照,月十五,完结,总裁豪门,136643,148808,200
绝世狂妃，燃爆了！,花花小姐,完结,玄幻言情,135800,56577,35
傲娇遇见童话,怪兽不乖,完结,玄幻言情,135645,1000581,51
且以欢喜共余生,景行,完结,都市爱情,135215,143411,184
其实，我喜欢你很久了,林小船,完结,青春校园,135122,161731,311
我的狐狸陛下,龙清凌,完结,古代言情,134473,469624,426
逢君光年外,深蓝,连载,古代言情,133397,180830,486
他来自群星深处,木良NANA,完结,科幻未来,132636,298093,53
你就那么喜欢我,冉求,完结,青春校园,132509,239942,164
她的梨涡很甜,茗致,完结,校园甜宠,165383,229660,543
我爱你到三十岁,仙女没有魔仙棒,完结,都市爱情,164220,368825,443
流年似锦,锦余,完结,校园甜宠,164203,234812,355
微光里,鸡蛋羹,完结,都市爱情,163732,202121,384
鹤唳华亭,雪满梁园,连载,古代言情,162472,394362,399
全场高能,千牧,完结,游戏竞技,161170,259983,67
佛性白月光穿书日常,鸡脚仙女,完结,玄幻言情,160583,200806,268
再婚：我的后半生,小酒馆,完结,婚姻家庭,158883,1063448,121
是你逼我追你的,迷漾,完结,都市爱情,157799,129058,354
一念心动，一生绵延,无处可逃,完结,都市爱情,157010,216786,182
只想和你在一起,今叶白,完结,校园甜宠,132360,296174,237
我和前夫都重生了,仙芋青稞,完结,青春校园,132278,166690,105
和你在一起才是全世界2,大柠,完结,都市爱情,130851,82368,821
你我怎能辜负流年,故非尘,连载,婚姻家庭,130331,260135,49
念念不忘,燕绥,完结,校园甜宠,128704,100053,34
听说山上有只妖,禾一,完结,仙侠神话,126842,306030,164
权宠嫡妃：夫君，从了吧,小酒馆,完结,古代言情,126107,1586002,85
小世界,飘阿兮,完结,励志人生,124968,76519,112
请早点出现在我的生命中,伍月,连载,都市爱情,123736,389653,1
最好不过余生都是你,香香公主,完结,职场白领,123614,412363,239
给你一碗糖,蔺怀瑾,完结,都市爱情,181098,158549,508
Hello，新地球,全世界只剩一个人,完结,科幻未来,177866,329853,56
春风拂我,笙歌,完结,都市爱情,176113,130690,401
一口吃掉胖青梅,陆有匪,完结,青春校园,174564,197123,213
老公是我的大粉,禾一,完结,娱乐明星,173974,256543,2042
世界欠我一个初恋,安思源,完结,都市爱情,173782,212253,1103
北方有嘉人,花树熊,完结,校园甜宠,172635,235721,272
君未生,北方有佳人,完结,都市爱情,172570,899681,140
我和爱豆官宣了,弃弈,完结,娱乐明星,168339,373382,584
微安浮城,道听途说,完结,都市爱情,166399,114680,105
花田空间：农门小当家,小青菜,完结,种田经商,191147,385954,34
爱不起你的灯火阑珊,叶辰星,完结,都市爱情,191136,54640,137
无陆可逃,芙鸢贯青天,完结,都市爱情,190303,226491,230
再青春,辛夷坞,完结,都市爱情,190259,214585,513
你是我年少所有的秘密,三寻,完结,青春校园,190029,230583,159
你迟到的那些年,锦余,完结,都市爱情,187989,322958,395
小甜心,静女婉兮,完结,校园甜宠,186728,244532,384
你比蜜糖还要甜,下雨天,完结,校园甜宠,185090,201016,430
请在我的全世界留下,雨落空城,完结,婚姻家庭,183389,572103,266
有时甜,狸子小姐,完结,青春校园,182525,114784,564
我们（上）,辛夷坞,完结,青春校园,147064,138892,1047
我还是人吗,鹿可可,完结,校园甜宠,145877,305088,232
